base,dim,rep_code,label,orbit_size,popcount,gf2_degree,gfq_degree,intmobius_degree,fill_poly,fill_deg,fill_lead,fill_n1,fill_n2,fill_n3,fill_n4,fill_n5,fill_n6,fill_n7,fill_n8,fill_n9,fill_n10,fill_n11,fill_n12,void_n1,void_n2,void_n3,void_n4,void_n5,void_n6,void_n7,void_n8,void_n9,void_n10,void_n11,void_n12
2,3,25,,24,3,3,3,3,n≡0(mod 2): 3*n**3/8 ; n≡1(mod 2): 3*n**3/8 + 3*n**2/8 + n/8 + 1/8,3,3/8,1,3,14,24,57,81,148,192,305,375,546,648,0,5,13,40,68,135,195,320,424,625,785,1080
2,3,27,,24,4,2,2,2,n≡0(mod 2): n**3/2 ; n≡1(mod 2): n**3/2 + n**2/2,3,1/2,1,4,18,32,75,108,196,256,405,500,726,864,0,4,9,32,50,108,147,256,324,500,605,864
2,3,30,,24,4,2,2,3,n≡0(mod 2): n**3/2 ; n≡1(mod 2): n**3/2 + n**2/4 - n/2 - 1/4,3,1/2,0,4,14,32,66,108,180,256,380,500,690,864,1,4,13,32,59,108,163,256,349,500,641,864
2,3,31,,24,5,3,3,3,n≡0(mod 2): 5*n**3/8 ; n≡1(mod 2): 5*n**3/8 + 5*n**2/8 - n/8 - 1/8,3,5/8,1,5,22,40,93,135,244,320,505,625,906,1080,0,3,5,24,32,81,99,192,224,375,425,648
2,3,60,,6,4,1,1,2,n≡0(mod 2): n**3/2 ; n≡1(mod 2): n**3/2 - n/2,3,1/2,0,4,12,32,60,108,168,256,360,500,660,864,1,4,15,32,65,108,175,256,369,500,671,864
2,3,61,,24,5,3,3,3,n≡0(mod 2): 5*n**3/8 ; n≡1(mod 2): 5*n**3/8 + 3*n**2/8 - n/8 + 1/8,3,5/8,1,5,20,40,87,135,232,320,485,625,876,1080,0,3,7,24,38,81,111,192,244,375,455,648
2,3,63,,12,6,2,2,2,n≡0(mod 2): 3*n**3/4 ; n≡1(mod 2): 3*n**3/4 + n**2/2 - n/4,3,3/4,1,6,24,48,105,162,280,384,585,750,1056,1296,0,2,3,16,20,54,63,128,144,250,275,432
2,3,105,,2,4,1,1,3,n≡0(mod 2): n**3/2 ; n≡1(mod 2): n**3/2 + 1/2,3,1/2,1,4,14,32,63,108,172,256,365,500,666,864,0,4,13,32,62,108,171,256,364,500,665,864
2,3,107,,8,5,3,3,3,n≡0(mod 2): 5*n**3/8 ; n≡1(mod 2): 5*n**3/8 + n**2/8 - n/8 + 3/8,3,5/8,1,5,18,40,81,135,220,320,465,625,846,1080,0,3,9,24,44,81,123,192,264,375,485,648
2,3,111,,12,6,2,2,3,n≡0(mod 2): 3*n**3/4 ; n≡1(mod 2): 3*n**3/4 + n**2/4 - n/4 + 1/4,3,3/4,1,6,22,48,99,162,268,384,565,750,1026,1296,0,2,5,16,26,54,75,128,164,250,305,432
2,3,126,,4,6,2,2,2,n≡0(mod 2): 3*n**3/4 ; n≡1(mod 2): 3*n**3/4 - 3*n/4,3,3/4,0,6,18,48,90,162,252,384,540,750,990,1296,1,2,9,16,35,54,91,128,189,250,341,432
