D,k,minpoly,degree,rho,classes,rules,code,windows,kappa_min,kappa_max,strict,name
1,4,x^8 - x^4 - 1,8,1.127838485561,1,4,22966,9,0.618921,0.618921,0,
1,4,x^5 + x^4 - x^2 - x - 1,5,1.123732821001,6,24,6510,8,0.581701,0.662183,1,
1,4,x^7 - x - 1,7,1.112775684278,6,24,7014,8,0.595837,0.676319,1,
1,4,x^8 - x^2 - 1,8,1.104872881650,1,2,22958,9,0.648601,0.648601,0,
1,4,x^8 - x - 1,8,1.096981557798,1,4,23014,9,0.658942,0.658942,1,
1,4,x - 1,1,1.000000000000,11323,44174,1,1,0.0,0.92511,1,
1,4,x,1,0.E-38,2093,8023,0,0,,,,
2,1,x - 4,1,4.000000000000,1,1,15,4,0.0,0.0,1,
2,1,x - 3,1,3.000000000000,1,4,7,3,0.0,0.0,1,
2,1,x - 2,1,2.000000000000,2,6,3,2,0.0,0.0,1,
2,1,x - 1,1,1.000000000000,1,4,1,1,0.0,0.0,1,
2,1,x,1,0.E-38,1,1,0,0,,,,
2,2,x - 4,1,4.000000000000,1,1,65535,16,0.0,0.0,1,
2,2,x^2 - 3*x - 3,2,3.791287847477,1,4,32767,15,0.030757,0.030757,1,
2,2,x^2 - 4*x + 1,2,3.732050807568,2,12,49151,15,0.053477,0.053477,1,
2,2,x^2 - 3*x - 2,2,3.561552812808,6,36,16383,14,0.071171,0.071171,1,
2,2,x^3 - 4*x^2 + 2*x - 1,3,3.511547141694,2,24,48639,14,0.091571,0.091571,1,
2,2,x^3 - 3*x^2 - 2*x + 1,3,3.490863615361,2,24,32255,14,0.100093,0.100093,1,
2,2,x^2 - 4*x + 2,2,3.414213562373,7,48,14335,13,0.078667,0.132124,1,
2,2,x^3 - 3*x^2 - x - 1,3,3.382975767906,2,24,16255,13,0.091927,0.091927,1,
2,2,x^3 - 2*x^2 - 4*x - 2,3,3.365230013414,2,12,15359,13,0.099515,0.099515,1,
2,2,x^2 - 3*x - 1,2,3.302775637731,15,192,8191,13,0.126541,0.126541,1,
2,2,x^3 - 4*x^2 + 3*x - 2,3,3.269530842081,2,24,40951,13,0.141136,0.141136,1,
2,2,x^4 - 3*x^3 - x^2 + x - 1,4,3.242616790998,2,24,32239,13,0.153061,0.153061,1,
2,2,x^2 - 2*x - 4,2,3.236067977499,2,6,13311,12,0.098239,0.098239,1,
2,2,x^4 - 4*x^3 + 3*x^2 - 2*x + 1,4,3.234022892850,3,24,48623,13,0.15689,0.15689,1,
2,2,x^3 - 3*x^2 - x + 1,3,3.214319743377,13,168,6143,12,0.107968,0.165706,1,
2,2,x^3 - 3*x^2 - 2,3,3.195823345445,2,24,8183,12,0.116294,0.116294,1,
2,2,x^3 - 4*x^2 + 2*x + 2,3,3.170086486626,2,12,38783,12,0.127959,0.127959,1,
2,2,x^3 - 2*x^2 - 3*x - 2,3,3.152757602010,3,48,14847,12,0.135867,0.135867,1,
2,2,x^3 - 4*x^2 + 3*x - 1,3,3.147899035704,7,96,38903,12,0.138092,0.195831,1,
2,2,x^4 - 2*x^3 - 4*x^2 + x + 1,4,3.140122668123,3,24,14303,12,0.14166,0.14166,1,
2,2,x^4 - 3*x^3 - x - 1,4,3.134272998422,2,24,15743,12,0.14435,0.14435,1,
2,2,x^3 - 3*x^2 - x + 2,3,3.114907541476,7,84,6015,11,0.090526,0.211031,1,
2,2,x^3 - 3*x^2 - 1,3,3.103803402735,4,48,6135,11,0.095679,0.158444,1,
2,2,x^3 - 2*x^2 - 3*x - 1,3,3.079595623491,10,144,7167,12,0.16974,0.16974,1,
2,2,x^4 - 3*x^3 - x + 1,4,3.071488446128,3,48,15863,12,0.173543,0.173543,1,
2,2,x^4 - 4*x^3 + 3*x^2 - 1,4,3.052300344613,2,24,38847,12,0.182584,0.182584,1,
2,2,x^4 - 3*x^3 - x^2 + 3*x - 1,4,3.039916598001,2,24,14319,12,0.18845,0.18845,1,
2,2,x^4 - 3*x^3 - 1,4,3.035744112294,3,48,15867,12,0.190431,0.190431,1,
2,2,x - 3,1,3.000000000000,73,840,1911,9,0.0,0.265257,1,
2,2,x^4 - 2*x^3 - 3*x^2 + 1,4,2.971483205255,6,72,6111,11,0.158533,0.221298,1,
2,2,x^4 - 3*x^3 - x^2 + 3*x + 1,4,2.956295201467,3,24,13759,11,0.165925,0.165925,1,
2,2,x^4 - 4*x^3 + 4*x^2 - 3*x + 1,4,2.949787524078,3,48,40431,12,0.23187,0.23187,1,
2,2,x^4 - 2*x^3 - 2*x^2 - 2*x - 1,4,2.947711586844,5,72,7159,11,0.17012,0.17012,1,
2,2,x^4 - 4*x^3 + 3*x^2 + 1,4,2.940392663660,3,24,38907,12,0.236472,0.236472,1,
2,2,x^3 - x^2 - 5*x - 2,3,2.935432331970,2,12,13279,11,0.176143,0.176143,1,
2,2,x^4 - 3*x^3 + x - 1,4,2.922999610168,8,120,6079,11,0.182266,0.245032,1,
2,2,x^3 - 2*x^2 - 2*x - 2,3,2.919639565839,2,24,8182,11,0.183926,0.183926,1,
2,2,x^3 - 2*x^2 - 3*x + 1,3,2.912229178484,3,48,6142,11,0.187592,0.187592,1,
2,2,x^4 - x^3 - 4*x^2 - 4*x - 1,4,2.897799878880,2,24,14815,11,0.194758,0.194758,1,
2,2,x^3 - 3*x^2 + x - 2,3,2.893289196304,3,48,7927,11,0.197005,0.197005,1,
2,2,x^4 - 2*x^3 - 2*x^2 - 2*x + 1,4,2.890053638263,3,24,14839,11,0.19862,0.19862,1,
