name,code,orbit,genus,gf2deg,pop,fingerprint,s,bs,C,dt,deg,dnf,cnf
mrly_06127,6127,192,comp,4,11,11 -18 9 -1 0,4,4,4,4,4,5,4
mrly_06142,6142,64,comp,4,11,11 -19 9 -1 0,4,4,4,4,4,5,4
mrly_06143,6143,64,comp,3,12,12 -19 9 -1 0,3,3,3,4,4,4,3
mrly_06375,6375,32,comp,2,8,8 -14 9 -2 0,4,4,4,4,3,5,5
mrly_06383,6383,64,comp,4,9,9 -16 10 -2 0,4,4,4,4,4,5,4
mrly_06399,6399,32,comp,3,10,10 -17 10 -2 0,3,3,3,4,3,3,3
mrly_06625,6625,48,comp,4,7,7 -13 9 -2 0,4,4,4,4,4,5,5
mrly_06627,6627,192,comp,3,8,8 -14 9 -2 0,4,4,4,4,3,5,5
mrly_06630,6630,192,comp,3,8,8 -15 9 -2 0,4,4,4,4,4,5,5
mrly_06631,6631,192,comp,4,9,9 -15 9 -2 0,4,4,4,4,4,5,5
mrly_06633,6633,192,comp,3,8,8 -15 10 -2 0,4,4,4,4,4,5,5
mrly_06634,6634,192,comp,3,8,8 -16 10 -2 0,3,3,3,3,3,4,4
mrly_06635,6635,384,comp,4,9,9 -16 10 -2 0,4,4,4,4,4,5,4
mrly_06638,6638,192,comp,4,9,9 -17 10 -2 0,3,3,3,4,4,4,4
mrly_06639,6639,192,comp,3,10,10 -17 10 -2 0,4,4,4,4,3,5,4
mrly_06641,6641,48,comp,3,8,8 -14 9 -2 0,4,4,4,4,3,3,4
mrly_06643,6643,192,comp,4,9,9 -15 9 -2 0,4,4,4,4,4,4,4
mrly_06646,6646,192,comp,4,9,9 -16 9 -2 0,4,4,4,4,4,5,5
